char,sim
禣,"['褠', '磚', '榑', '禕', '褌', '猼', '構', '搏', '槫', '縛', '傅', '𥢃', '傋', '𢳝', '搆', '檋', '硨', '褲', '襑', '禈']"
禤,"['禢', '褟', '襴', '禑', '襡', '褾', '襉', '襑', '罻', '穱', '禂', '傝', '檈', '𣗶', '矠', '禝', '禒', '峲', '稩', '裫']"
禥,"['樭', '谨', '𧞤', '僿', '窪', '璂', '裢', '𥰈', '馑', '褨', '槿', '𥴢', '𣔦', '簺', '碪', '蓵', '璀', '𥔧', '稑', '㮔']"
禦,"['𡒄', '裂', '慓', '骠', '剽', '懔', '偎', '馐', '徭', '儇', '𡔍', '𠼾', '嵿', '壈', '叢', '傜', '𤔛', '縹', '壕', '瑱']"
禧,"['𦷮', '褡', '噽', '殪', '禱', '褨', '檯', '秸', '𧛊', '蓓', '蓨', '梧', '槎', '襀', '穡', '襜', '磋', '𥟊', '磄', '𧜙']"
禨,"['穖', '耭', '襏', '僟', '橃', '機', '裧', '擌', '榝', '墢', '禐', '橩', '榽', '棳', '撥', '褷', '幾', '擸', '褛', '橴']"
禩,"['穓', '碨', '襈', '椳', '樏', '褾', '標', '禫', '稷', '𧝓', '禔', '禝', '裡', '䃛', '褆', '禎', '磥', '穎', '覄', '穠']"
禪,"['襌', '𧝓', '磾', '禆', '禅', '襅', '樿', '褝', '𧟀', '譂', '僤', '裨', '禈', '禫', '襗', '褌', '𢠤', '憚', '倅', '澣']"
禫,"['𧝓', '罈', '橝', '磹', '𦅰', '潭', '憛', '譚', '檡', '凙', '漳', '僊', '襗', '禪', '幛', '慞', '懌', '硣', '顨', '礋']"
禬,"['襘', '徻', '𥖩', '𣞄', '檜', '璯', '儈', '褕', '偹', '旝', '繪', '僧', '𡑭', '倽', '澮', '譮', '憎', '鄶', '禴', '懀']"
禭,"['穟', '檖', '裢', '𣑁', '襚', '磋', '礈', '袴', '旞', '𡑞', '篵', '𦷬', '磙', '𨒸', '譢', '褨', '璲', '旍', '澻', '襪']"
禮,"['𡓾', '𡅏', '鳢', '澧', '𢹿', '褾', '襛', '僊', '僼', '禯', '僄', '僮', '裎', '禋', '𠏥', '䄇', '徱', '傜', '徨', '儽']"
禯,"['褾', '穠', '儯', '徱', '襛', '僷', '繷', '忀', '傿', '鄪', '襐', '僄', '襪', '僊', '旚', '僼', '鄼', '檦', '徺', '儒']"
禰,"['襧', '儞', '爾', '彌', '𠧌', '穪', '濔', '檷', '𢣚', '袻', '裲', '擟', '倆', '𥛗', '礵', '襦', '陑', '俩', '窷', '𥡘']"
禱,"['檮', '懤', '濤', '擣', '襀', '璹', '壔', '禧', '觠', '蒄', '襩', '諪', '懩', '篟', '儔', '積', '惓', '耫', '袴', '簶']"
禲,"['褼', '櫔', '禂', '穬', '漉', '擴', '襡', '褾', '襶', '襴', '襹', '𤅙', '攦', '犡', '濿', '襉', '樚', '襪', '壙', '礦']"
禳,"['欀', '穰', '𧞤', '𦏓', '嚢', '譲', '襄', '攘', '藂', '瓖', '穣', '僿', '襪', '𥗾', '懹', '镶', '𤀕', '壌', '𢢲', '襆']"
禴,"['倫', '埨', '𧛈', '掄', '碖', '龥', '棆', '瀹', '龡', '讑', '耣', '淪', '徻', '溣', '𠗣', '稐', '褕', '谕', '𣼍', '惀']"
禵,"['禗', '褆', '禝', '徥', '𥗽', '纋', '瀢', '碨', '櫌', '遐', '𤄭', '視', '褾', '頍', '禩', '壝', '襈', '襴', '覐', '頄']"
禶,"['襸', '灒', '穳', '欑', '𧹍', '纘', '濽', '濳', '纉', '謴', '瓉', '読', '詵', '瓚', '澬', '穦', '顁', '矠', '璳', '酇']"
禷,"['禨', '頯', '襏', '穖', '襥', '襭', '𠐬', '頪', '糢', '𢹉', '榽', '頽', '磔', '磸', '榥', '禐', '襸', '穦', '矟', '禊']"
禸,"['内', '內', '闪', '讷', '匃', '匈', '向', '闭', '勽', '𨳒', '肉', '𡶀', '闲', '勾', '匀', '吶', '𢗉', '泅', '罔', '𤬲']"
禹,"['寓', '蜀', '虱', '瑀', '㕑', '离', '鄅', '寯', '皍', '臿', '屁', '焉', '闻', '禺', '屗', '序', '寅', '踽', '眉', '𡶀']"
禺,"['毘', '呙', '禹', '喁', '昆', '帛', '隅', '冐', '𡶀', '聞', '頃', '間', '隕', '閧', '𠛣', '閒', '甪', '闍', '崱', '闾']"
离,"['禼', '窩', '蒚', '篱', '禹', '漓', '窉', '縭', '𠅜', '璃', '墒', '廚', '廓', '蓠', '蔼', '痼', '憰', '㕑', '寯', '𢇱']"
禼,"['离', '窩', '翯', '篱', '罔', '蒚', '呙', '禹', '𡶀', '卨', '阂', '咼', '禽', '扃', '嵩', '憰', '崶', '寯', '晑', '𠅜']"
禽,"['噙', '𥋼', '𠇮', '𢢬', '倉', '兪', '𡑭', '篱', '窬', '倹', '儈', '禼', '笘', '匼', '𨇓', '墖', '𥯓', '篦', '倜', '廥']"
禾,"['末', '未', '杀', '示', '乔', '汞', '柔', '来', '來', '矢', '秂', '术', '不', '礻', '亦', '忝', '宋', '朱', '奀', '衤']"
禿,"['秃', '无', '岙', '杂', '矢', '尧', '汞', '朮', '岤', '忎', '禾', '𠃯', '𨓢', '旡', '朵', '未', '旯', '乘', '末', '𡵉']"
秀,"['究', '尞', '𢇱', '矮', '殍', '袴', '侯', '夷', '袌', '季', '乔', '充', '窄', '奔', '亵', '惊', '庋', '孫', '矜', '麥']"
私,"['払', '坛', '紘', '秘', '补', '扵', '忶', '仏', '柲', '刻', '袐', '该', '㤏', '聆', '怰', '迯', '𫃚', '𡉾', '矜', '𡉽']"
秂,"['夭', '天', '乔', '奀', '宊', '矢', '沗', '禾', '黍', '未', '汞', '忝', '宎', '末', '杀', '兲', '夹', '秃', '柔', '來']"
秃,"['禿', '无', '汞', '朮', '宄', '秀', '尧', '矢', '充', '完', '忝', '𠃯', '乔', '𨓢', '宂', '先', '未', '乘', '旯', '厌']"
秄,"['杍', '秆', '衧', '耔', '沀', '矷', '杼', '伃', '秅', '弙', '玣', '杄', '忬', '衦', '仠', '钎', '杤', '紆', '柕', '𥝹']"
秅,"['杔', '矺', '秄', '秏', '弙', '衧', '秆', '抚', '圫', '托', '瓩', '杍', '扷', '饦', '玗', '仛', '玣', '幵', '𢫅', '秪']"
秆,"['衦', '秄', '杆', '衧', '杄', '矸', '仠', '幵', '轩', '忓', '杅', '杍', '粁', '扞', '玕', '紆', '玣', '姧', '厈', '秅']"
秇,"['柼', '稢', '枤', '袂', '稶', '秧', '怽', '猌', '𥞵', '槸', '褹', '拺', '抺', '摗', '挾', '𢪯', '执', '拻', '𢩾', '秾']"
秈,"['杣', '舢', '𦘹', '圸', '峤', '汕', '峫', '讪', '嵇', '峭', '軕', '峙', '𤜬', '崕', '岒', '籼', '赸', '岋', '仙', '峡']"
秉,"['乗', '雬', '筙', '筹', '羕', '枽', '蓑', '羛', '苐', '粟', '羮', '崬', '裏', '簔', '堯', '茮', '褱', '萇', '耒', '橐']"
秊,"['𡨧', '挛', '拳', '奔', '举', '牽', '宰', '癷', '穻', '羍', '牟', '梓', '率', '斚', '夅', '牢', '箤', '𥭏', '氒', '荤']"
秋,"['秌', '揪', '杦', '炏', '杴', '枤', '𥞵', '愀', '烞', '枞', '啾', '瞅', '偢', '耿', '朳', '秘', '炢', '裌', '阦', '炔']"
秌,"['㶬', '秋', '烣', '煉', '状', '烬', '㶩', '炢', '𤊒', '炔', '炼', '烞', '炊', '𢜞', '杦', '𤉜', '炑', '炵', '枤', '灰']"
种,"['衶', '𣐄', '䘜', '神', '柛', '祌', '砷', '忡', '𠁪', '仲', '冲', '𢪠', '沖', '𡧲', '榊', '帓', '袡', '浺', '梙', '朄']"
秎,"['衯', '枌', '玢', '梲', '坋', '扮', '羒', '紛', '聁', '枍', '砏', '棁', '帉', '蒶', '祱', '挩', '秢', '称', '锈', '槂']"
秏,"['枆', '粍', '秅', '秺', '毭', '瓱', '牦', '耗', '竓', '毦', '毾', '杽', '㧌', '兞', '毤', '抚', '毻', '𣭲', '杔', '弙']"
秐,"['耘', '枟', '眃', '紜', '転', '呍', '忶', '梽', '充', '矻', '砞', '硡', '抎', '坛', '玹', '伝', '袨', '弦', '杚', '怰']"
科,"['枓', '钭', '犐', '抖', '斘', '斜', '紏', '𧿫', '𣐲', '斟', '斣', '鈄', '𢗸', '唞', '斞', '私', '呌', '朻', '补', '炓']"
秒,"['杪', '砂', '抄', '桫', '挱', '耖', '𦕈', '𡮓', '钞', '炒', '𡮩', '䟞', '玅', '𥻠', '紗', '𥘷', '粆', '矽', '𡭱', '𣻅']"
秓,"['秡', '柭', '衼', '枝', '稜', '技', '袚', '秛', '掕', '𥑂', '抜', '袯', '拔', '桉', '栈', '𣏾', '敊', '柀', '被', '𢪊']"
秔,"['砊', '杬', '抚', '杭', '秫', '𥟌', '斻', '𢭾', '瓻', '茿', '瓭', '抗', '𣒾', '抭', '硦', '柼', '秇', '坑', '旀', '𧚢']"
秕,"['枇', '砒', '朼', '𢫣', '舭', '玭', '牝', '批', '𢗽', '龇', '沘', '秘', '玼', '𥙩', '紕', '杝', '杌', '𢫄', '𥙧', '桃']"
秖,"['衹', '秪', '祇', '柢', '袛', '祗', '坻', '弤', '坁', '抵', '舐', '牴', '珉', '扺', '砥', '𦨢', '玬', '𥝥', '迅', '㤇']"
秗,"['枖', '𣏿', '矨', '袄', '祅', '祆', '扷', '秝', '柇', '殏', '冧', '殀', '秇', '砞', '秠', '猌', '𥟂', '秆', '柼', '秅']"
秘,"['祕', '泌', '砒', '袐', '私', '迯', '柲', '𥙩', '𣷯', '挑', '逊', '怭', '沏', '𥝥', '聎', '𤇩', '佻', '邲', '汲', '矜']"
秙,"['栝', '秳', '祜', '秸', '枯', '硈', '祮', '桔', '梽', '秥', '袺', '稖', '稓', '枱', '𥟊', '轱', '棓', '瓳', '硞', '祰']"
秚,"['袢', '柈', '牉', '样', '冸', '粰', '桛', '稃', '桦', '詊', '桙', '𥐆', '拌', '祽', '枠', '稡', '珜', '粋', '萪', '𣒲']"
秛,"['被', '秡', '柀', '皳', '耚', '柭', '秓', '袚', '𥝥', '聗', '极', '翍', '敊', '帗', '𥟹', '𣃣', '秇', '玻', '胈', '秧']"
秜,"['柅', '𣖗', '怩', '馜', '扼', '跜', '抳', '砨', '坭', '杋', '屔', '铌', '𡥵', '伲', '既', '𥿡', '棿', '梕', '泥', '𧚢']"
秝,"['柇', '秣', '冧', '称', '𥟂', '袜', '庥', '桥', '𥟈', '秗', '杯', '𥟼', '砞', '秫', '挢', '秇', '秼', '袄', '祙', '䅘']"
秞,"['袖', '柚', '釉', '粙', '𤳨', '牰', '𣒠', '轴', '𤉕', '橊', '𧘸', '抽', '𤉓', '怞', '舳', '秿', '紬', '𢂎', '𧛞', '頔']"
租,"['柤', '袓', '祖', '袒', '砠', '耝', '豠', '柦', '秬', '𥑲', '栮', '珇', '耜', '枏', '栕', '徂', '相', '坥', '龃', '𢫗']"
秠,"['怌', '阫', '紑', '吥', '柸', '𣑎', '环', '还', '杯', '稏', '坯', '肧', '伓', '砞', '胚', '豾', '坏', '玣', '炋', '钚']"
秡,"['袚', '柭', '秓', '秛', '稜', '袯', '被', '抜', '祓', '皳', '稄', '菝', '𥯈', '衼', '樉', '拺', '拔', '櫗', '挔', '衭']"
秢,"['矝', '袊', '衿', '柃', '砱', '枔', '矜', '枍', '拎', '稔', '彾', '衯', '砛', '徕', '称', '怜', '炛', '徐', '玲', '梒']"
秣,"['袜', '𥟂', '枺', '祙', '秝', '𥟈', '𣑳', '𥟼', '𠅒', '梾', '抺', '柇', '秼', '抹', '砞', '株', '粖', '棣', '䅘', '袂']"
秤,"['砰', '枰', '伻', '玶', '怦', '抨', '評', '泙', '𢆠', '坪', '评', '碎', '轷', '𢆕', '胓', '稡', '𠇼', '呯', '硏', '垀']"
秥,"['袩', '砧', '枮', '枯', '杜', '袦', '𥙒', '祜', '社', '𥮊', '柮', '𥙪', '秸', '祛', '秙', '𪿒', '拈', '壯', '砝', '𢫟']"
秦,"['奏', '素', '泰', '焘', '榛', '索', '奉', '菾', '袠', '臻', '豢', '楱', '獉', '搸', '隶', '殝', '蓁', '藜', '荞', '表']"
秧,"['柍', '殃', '怏', '秇', '坱', '块', '聗', '𥟹', '袂', '抰', '佒', '柼', '枤', '楰', '殊', '稢', '栱', '坡', '垘', '頓']"
秨,"['祚', '砟', '柞', '詐', '舴', '诈', '拃', '𨐷', '阼', '胙', '𥘪', '筰', '徘', '稚', '𠇼', '乍', '仔', '旂', '宱', '𣵲']"
秩,"['柣', '袟', '祑', '衭', '轶', '𠞠', '栚', '枎', '抶', '𡘮', '祓', '𠅎', '袂', '栿', '扶', '茯', '𥓹', '枤', '秧', '株']"
秪,"['祗', '秖', '柢', '衹', '袛', '弤', '祇', '砥', '牴', '抵', '坻', '坁', '珉', '氓', '诋', '𦨢', '栎', '𥝥', '玬', '㫝']"
秫,"['𥟌', '衴', '𢫖', '抚', '枕', '茿', '𣒾', '𣑁', '栊', '柼', '秝', '朮', '𢬳', '杭', '萙', '秔', '𢭾', '秭', '桥', '𠅍']"
秬,"['栕', '耟', '𥑭', '袓', '柜', '柦', '砠', '祖', '栮', '砈', '租', '袒', '枑', '矩', '弡', '粔', '枙', '弫', '柤', '祀']"
秭,"['柹', '枋', '称', '枒', '梯', '㧊', '桥', '𣔠', '抹', '柼', '挢', '栛', '槂', '秲', '𢬾', '枾', '袂', '梇', '𣓿', '抪']"
秮,"['耛', '秴', '耠', '枱', '祫', '袷', '柗', '硆', '粭', '珆', '珨', '秙', '瓵', '𣃺', '詒', '𤥫', '琀', '秳', '谸', '硲']"
积,"['枳', '轵', '帜', '职', '呎', '釈', '択', '柷', '炽', '怾', '祝', '呮', '𥿗', '抧', '怳', '伿', '识', '咫', '呪', '扨']"
称,"['袮', '祢', '挢', '桥', '袕', '矫', '秝', '珎', '轿', '栎', '弥', '徕', '秭', '𣑁', '雂', '𢪗', '栐', '旀', '𢙕', '侨']"
秱,"['硐', '桐', '裥', '柯', '稠', '柌', '祠', '袔', '洞', '榈', '祤', '椆', '枂', '恫', '粡', '𣔲', '郇', '垌', '侗', '捆']"
秲,"['梼', '持', '待', '特', '桲', '幇', '祎', '袴', '𣖖', '袆', '抟', '荇', '梇', '㭳', '桍', '恃', '桴', '梈', '栫', '裃']"
秳,"['栝', '秙', '秸', '𥟊', '硈', '稖', '祮', '稓', '穚', '祜', '裿', '袺', '梧', '砞', '碚', '桾', '佸', '稰', '穦', '梽']"
秴,"['祫', '秮', '袷', '耠', '硲', '柗', '粭', '硆', '裕', '谸', '枱', '耛', '梒', '谽', '𣃺', '𧯅', '佮', '馠', '秢', '珨']"
秵,"['稇', '栶', '裀', '裍', '棞', '稛', '稒', '祵', '硱', '椢', '碅', '棝', '梱', '珚', '硇', '欭', '秱', '睏', '硘', '絪']"
秶,"['栥', '粢', '筞', '燊', '楶', '簗', '儏', '箂', '楘', '筿', '粂', '桑', '穼', '筡', '枀', '寀', '祭', '滎', '策', '箓']"
秷,"['桎', '祬', '柽', '袏', '榁', '稑', '轾', '硁', '𣓆', '嵀', '垤', '臸', '铚', '栓', '侄', '樦', '嵸', '挃', '荰', '𥭎']"
秸,"['桔', '袺', '祮', '栝', '梧', '𥟊', '稓', '祰', '𥠯', '硈', '枯', '裿', '秙', '秳', '蓓', '楛', '碏', '祐', '栺', '椅']"
秹,"['袵', '栣', '拰', '祍', '衽', '梃', '絍', '秪', '𠗤', '祗', '𦁽', '𢪭', '秖', '𢫟', '彺', '銋', '𢫛', '扭', '拞', '㳝']"
秺,"['枆', '秏', '袉', '耗', '稕', '芤', '秅', '袸', '梡', '稃', '詫', '莸', '杔', '梈', '秜', '稰', '矺', '紽', '𥟌', '硓']"
移,"['栘', '𣻗', '𢴐', '𥒥', '𥹠', '𡥥', '𣔢', '矜', '衫', '袳', '𨖨', '拸', '杉', '跢', '𥓸', '𣴙', '穇', '钐', '謻', '𨂼']"
秼,"['袾', '𥟂', '秣', '𥟼', '祩', '茠', '袜', '秝', '柇', '粖', '祙', '珠', '硃', '棌', '𥟈', '栜', '枺', '䅘', '砞', '殐']"
秽,"['桚', '椤', '𣟃', '𣘃', '荹', '移', '硶', '秒', '陟', '𦃮', '埗', '𠓔', '拶', '梣', '捗', '箩', '𤘂', '锣', '涉', '砂']"
秾,"['𥞵', '䅘', '杴', '裌', '挾', '梜', '揪', '梂', '杦', '柼', '𢙐', '枤', '枚', '秇', '萩', '袕', '栐', '𢙇', '徠', '猌']"
秿,"['補', '𥡘', '桶', '豧', '䊇', '𠬕', '蒱', '襔', '辅', '襭', '𥠮', '糒', '揃', '穔', '橗', '褠', '稿', '𣟩', '袆', '穑']"
稀,"['桸', '楴', '桥', '禘', '豨', '𤏤', '褅', '俙', '𢬾', '𥡘', '襔', '梳', '硚', '柿', '𥟊', '挢', '秝', '橋', '𧜵', '秭']"
稁,"['宲', '葲', '稾', '枲', '襃', '寮', '葈', '宷', '桌', '繤', '寰', '桑', '杗', '梥', '槀', '藔', '亰', '察', '袅', '瞏']"
稂,"['裉', '硠', '根', '硍', '棙', '豤', '桭', '裖', '桹', '粯', '祳', '𢭗', '粮', '羪', '棖', '楾', '頯', '棿', '掁', '躴']"
稃,"['稕', '桴', '粰', '琈', '祽', '捊', '䘹', '桙', '襗', '悸', '襑', '埓', '裈', '嶈', '稡', '袶', '𠾹', '垺', '櫾', '悴']"
稄,"['稪', '稜', '𥯈', '稯', '穟', '禐', '秡', '祾', '籡', '梭', '熃', '葰', '碐', '簃', '秓', '羧', '筱', '被', '楥', '襏']"
稅,"['祱', '税', '梲', '裞', '棁', '𥟉', '𧚢', '捝', '𠾔', '锐', '祝', '棿', '銳', '說', '稊', '秎', '𣘌', '柷', '挩', '硗']"
稆,"['祒', '袑', '梠', '柖', '佋', '稻', '程', '桰', '耜', '枏', '柦', '挹', '栮', '𠈲', '𥓅', '衻', '杷', '怊', '䄫', '牊']"
稇,"['稛', '秵', '祵', '裍', '棞', '稒', '裀', '栶', '硱', '棝', '梱', '碅', '棡', '椢', '秱', '柶', '硇', '涃', '珚', '阃']"
稈,"['桿', '垾', '皔', '棏', '貋', '睅', '晘', '稺', '悍', '禫', '𥢐', '稕', '𥣐', '稞', '㮿', '稩', '𢫵', '猂', '碍', '哻']"
稉,"['樮', '梗', '硬', '種', '褲', '褌', '𤵺', '挭', '倕', '浭', '稶', '樚', '褾', '棰', '榎', '稢', '褈', '顂', '㮔', '粳']"
稊,"['祶', '梯', '锑', '槂', '挮', '𥟌', '珶', '𧜵', '𢴝', '蕛', '稤', '秭', '𡌡', '𧚢', '裙', '硃', '𥡘', '掜', '𥟈', '梇']"
程,"['裎', '䄇', '桯', '悜', '徎', '禔', '秷', '嵀', '袑', '褆', '𣔦', '𨂘', '祒', '㮛', '種', '徨', '弫', '𣓆', '𡥴', '𥰈']"
稌,"['梌', '徐', '捈', '铩', '硢', '箖', '馀', '絉', '䋘', '稔', '窱', '禒', '秢', '俆', '𥚤', '絺', '稄', '矝', '祿', '綵']"
稍,"['硝', '梢', '档', '捎', '稭', '悄', '裆', '箱', '禙', '循', '恉', '褃', '偝', '箝', '㨘', '傰', '梋', '徣', '𥳓', '徇']"
税,"['裞', '稅', '𥟉', '𧚢', '梲', '𥟌', '稊', '祱', '祝', '棿', '柷', '𠾔', '捝', '抧', '掜', '𣘌', '𢭑', '棁', '镋', '綐']"
稏,"['椏', '俹', '秠', '埡', '弬', '柾', '聇', '珁', '孲', '桺', '頙', '弪', '珌', '瓨', '𥝽', '耺', '聉', '𧙼', '钰', '枑']"
稐,"['耣', '𧛈', '碖', '棆', '禴', '褕', '椧', '𦁸', '𧹪', '𣘈', '𣗾', '龢', '掄', '楡', '磮', '襝', '禬', '綸', '羷', '錀']"
稑,"['榁', '樦', '秷', '荰', '蓕', '梿', '楏', '樥', '嵸', '裢', '檯', '𣔦', '菿', '𣓆', '蕥', '嵀', '桎', '褘', '禕', '梽']"
稒,"['稛', '稇', '棝', '裍', '裀', '椢', '祵', '秵', '稠', '棞', '棡', '禂', '秱', '祻', '硱', '棢', '碅', '橍', '𥙓', '栶']"
稓,"['棤', '秸', '祰', '𧛊', '碏', '祮', '蕱', '耤', '袺', '棔', '矠', '稽', '𥟊', '穦', '裿', '𥠻', '硈', '𥠯', '桔', '秳']"
稔,"['棯', '棇', '捻', '𧛋', '聡', '炛', '秢', '𢵰', '枍', '抡', '𥚤', '埝', '捴', '稳', '祱', '梲', '桧', '𣿇', '袐', '徐']"
稕,"['稃', '弴', '碠', '梈', '䘹', '稦', '禕', '楟', '椁', '桙', '徫', '栙', '褘', '樟', '桴', '祽', '悸', '萪', '𠾹', '𣛟']"
稖,"['棓', '穃', '𥟊', '碚', '秳', '稰', '栝', '碦', '稓', '穚', '褅', '穦', '裿', '硈', '梧', '棛', '秸', '秙', '祮', '碈']"
稗,"['裨', '椑', '磾', '碑', '粺', '襌', '㮿', '樿', '豍', '𧝓', '稡', '琕', '俾', '禪', '簰', '殫', '郸', '惮', '捭', '幝']"
稘,"['粸', '𦓿', '褀', '祺', '棋', '簯', '揕', '攋', '檱', '𢱖', '撗', '骐', '椹', '稹', '穥', '𢵵', '撨', '樵', '掑', '櫵']"
稙,"['禃', '植', '楦', '椬', '𣙁', '犆', '蒩', '徝', '穁', '碹', '榵', '楂', '槙', '楌', '樝', '莇', '槓', '馗', '棺', '葙']"
稚,"['碓', '椎', '准', '䧺', '雅', '雔', '堆', '𣔦', '淮', '璀', '傕', '惟', '推', '雠', '確', '誰', '隿', '維', '琟', '谁']"
稛,"['稇', '棞', '祵', '裍', '稒', '碅', '硱', '裀', '秵', '梱', '椢', '栶', '棝', '囷', '棡', '涃', '硇', '阃', '闲', '珚']"
稜,"['棱', '祾', '裬', '梭', '秓', '秡', '衼', '掕', '椟', '檨', '椄', '碐', '棧', '捘', '樉', '稄', '棳', '梜', '柭', '桉']"
稝,"['弸', '棚', '硼', '𥞖', '朗', '焩', '堋', '玥', '貾', '𦟼', '肕', '𦠯', '瞯', '睭', '𢜠', '㫝', '𠻴', '樃', '晲', '掤']"
稞,"['堁', '棵', '琾', '裸', '粿', '捰', '楐', '惈', '祼', '綶', '穓', '槱', '罧', '锞', '骒', '棸', '璪', '堺', '塛', '躶']"
稟,"['禀', '槀', '稾', '橐', '褱', '藳', '宲', '桌', '枲', '裒', '某', '烹', '衰', '𧗅', '彙', '皋', '菒', '奡', '藁', '衷']"
稠,"['裯', '禂', '椆', '碉', '秱', '榈', '襉', '徟', '橍', '琱', '梮', '调', '襇', '翢', '濶', '淍', '稒', '倜', '阍', '㨄']"
稡,"['椊', '䘹', '碎', '祽', '𣒲', '𣖢', '梓', '𠾹', '悴', '榟', '裈', '倅', '榉', '枠', '桙', '砗', '捽', '稃', '穉', '萪']"
稢,"['稶', '棫', '秇', '掝', '碱', '敇', '戫', '禂', '聝', '郗', '傸', '惐', '赥', '鄇', '稵', '惤', '聗', '𥟹', '𥝥', '極']"
稣,"['穌', '鲚', '鲸', '鱿', '鲂', '鲅', '鲻', '鮽', '鲟', '鲐', '鯟', '鳏', '鮁', '鲀', '鮇', '魮', '鲉', '鳉', '鯀', '䰼']"
稤,"['椋', '䃄', '弶', '辌', '碂', '𧚢', '琼', '綡', '掠', '箖', '庥', '孮', '祿', '梡', '巟', '稊', '榇', '殑', '蕛', '諒']"
稥,"['𥧎', '昋', '睿', '眷', '𩡋', '馩', '𧹰', '萫', '孴', '楿', '馣', '黁', '卷', '憃', '奢', '諅', '巹', '巷', '窇', '馛']"
稦,"['禕', '褘', '椲', '橭', '樥', '萪', '緯', '檋', '稕', '蓒', '棒', '𣛟', '𣒲', '榟', '樺', '𢯷', '徫', '䘹', '梓', '穘']"
稧,"['褉', '碶', '禊', '穰', '榽', '檓', '樮', '榤', '穉', '擙', '楐', '攈', '橂', '秧', '簯', '穖', '耱', '穓', '摗', '攗']"
稨,"['褊', '楄', '碥', '藊', '㴜', '斒', '谝', '揙', '惼', '徧', '編', '犏', '糄', '编', '煸', '偏', '諞', '酃', '孺', '𠷨']"
稩,"['稰', '橍', '樌', '矠', '幦', '禑', '穦', '檟', '禙', '琄', '襉', '磭', '𣖜', '檼', '稕', '禤', '穱', '偦', '稃', '羂']"
稪,"['椱', '榎', '複', '祲', '禐', '稄', '楥', '穦', '褆', '豷', '頯', '梫', '榱', '蕧', '褑', '熃', '褗', '寑', '𥎉', '榠']"
稫,"['楅', '褔', '福', '櫑', '橸', '疈', '偪', '禞', '愊', '礓', '稸', '襠', '諨', '礌', '礧', '襎', '辐', '礑', '偘', '榀']"
稬,"['襖', '楔', '奬', '愞', '礇', '稷', '揳', '稢', '𢝛', '碝', '𤊣', '稶', '欷', '懊', '隩', '穠', '褉', '祓', '𠅼', '櫲']"
稭,"['楷', '稽', '褙', '档', '稻', '褶', '稍', '禙', '裆', '𥠻', '揩', '堦', '𢲵', '𢹆', '谐', '梢', '硝', '㧺', '棔', '都']"
種,"['𥔧', '𧀑', '褈', '㮔', '𥣑', '揰', '𥠭', '倕', '湩', '𥵾', '穜', '隀', '褲', '𢷹', '𣿅', '褌', '楎', '𢝆', '𧞤', '稉']"
稯,"['榽', '稜', '穖', '稄', '橃', '禐', '襏', '禨', '禝', '𥢄', '桵', '祾', '椶', '褛', '稵', '檨', '棧', '褑', '稷', '碊']"
稰,"['楈', '穦', '棔', '稩', '𥟊', '磭', '禙', '犞', '榍', '稓', '裐', '桾', '穚', '縃', '𥳓', '稖', '窹', '蓨', '穱', '梋']"
稱,"['袡', '梙', '砷', '筗', '䕝', '茽', '𥣽', '椫', '神', '柟', '抻', '裺', '禅', '襵', '衶', '梻', '柛', '禣', '檊', '冲']"
稲,"['稻', '𥛗', '穱', '穦', '稰', '箱', '稿', '稩', '矠', '穯', '穡', '褶', '碷', '𥟊', '磭', '禙', '祒', '槄', '穑', '稭']"
稳,"['𢰽', '穩', '梞', '綂', '𢶶', '𢴑', '綅', '攬', '繚', '𢭄', '墕', '捻', '搗', '𦂈', '穏', '撌', '𡓡', '𡌿', '境', '倦']"
稴,"['槏', '𢐎', '𥻧', '慊', '謙', '𨃰', '搛', '兼', '嗛', '尲', '歉', '膁', '縑', '豏', '𧞋', '隒', '𠔮', '𣜰', '賺', '䁠']"
稵,"['禌', '𦷬', '穟', '磁', '裧', '絃', '嶶', '豥', '𥟂', '襚', '稶', '禐', '櫗', '稢', '檖', '蔠', '櫒', '礠', '秇', '𥟼']"
稶,"['稢', '棫', '秇', '鄇', '惤', '殘', '矮', '禐', '𢵽', '塽', '戫', '碱', '楥', '埭', '碊', '馘', '郩', '慡', '轲', '陔']"
稷,"['禝', '𥢄', '碨', '楐', '稯', '椳', '禩', '稜', '程', '𥝥', '稄', '稪', '樏', '聗', '渨', '磋', '袑', '被', '孾', '隈']"
稸,"['橎', '籕', '礑', '穚', '襠', '磻', '槒', '𥟊', '襎', '穡', '僠', '穑', '禞', '檔', '𥛗', '穱', '穞', '褅', '裿', '穦']"
稹,"['𧜖', '搷', '禛', '填', '槙', '𦹶', '瑱', '楨', '槓', '禎', '𤠶', '檱', '摃', '慎', '襀', '𤛇', '簯', '檳', '祺', '撌']"
稺,"['穉', '樨', '裤', '徲', '殬', '楃', '礋', '郓', '稡', '裈', '䘹', '幦', '珲', '𣒲', '棙', '襗', '嶈', '硸', '辫', '耨']"
稻,"['𥛗', '槄', '稲', '褶', '稭', '箱', '𥟊', '穡', '稿', '衙', '裆', '稍', '祒', '慆', '𥡘', '硝', '𦗌', '搯', '裪', '稽']"
稼,"['榢', '椽', '镓', '傢', '家', '豙', '糘', '煫', '𧰬', '𥵿', '塚', '檬', '冡', '塜', '豪', '懞', '彖', '象', '鎵', '冢']"
